Burundi,  2 309,  2 360,  2 406,  2 449,  2 492,  2 537,  2 585,  2 636,  2 689,  2 743,  2 798,  2 852
Comoros,   159,   163,   167,   170,   173,   176,   179,   182,   185,   188,   191,   194
Djibouti,   62,   63,   65,   66,   68,   70,   71,   74,   76,   80,   84,   89
Eritrea,   822,   835,   849,   865,   882,   900,   919,   939,   961,   983,  1 008,  1 033
Ethiopia,  18 128,  18 467,  18 820,  19 184,  19 560,  19 947,  20 348,  20 764,  21 201,  21 662,  22 151,  22 671
Kenya,  6 077,  6 242,  6 416,  6 598,  6 789,  6 988,  7 195,  7 412,  7 638,  7 874,  8 120,  8 378
Madagascar,  4 084,  4 168,  4 257,  4 349,  4 444,  4 544,  4 647,  4 754,  4 865,  4 980,  5 099,  5 224
Malawi,  2 954,  3 012,  3 072,  3 136,  3 202,  3 271,  3 342,  3 417,  3 495,  3 576,  3 660,  3 748
Mauritius,   493,   506,   521,   537,   554,   571,   588,   605,   623,   641,   660,   679
Mayotte,   15,   16,   16,   17,   18,   19,   20,   21,   22,   23,   24,   25
Mozambique,  5 959,  6 059,  6 165,  6 275,  6 390,  6 508,  6 632,  6 760,  6 894,  7 036,  7 185,  7 342
R̩union,   248,   259,   268,   277,   284,   292,   300,   308,   317,   326,   336,   345
Rwanda,  2 186,  2 251,  2 314,  2 380,  2 450,  2 527,  2 610,  2 696,  2 782,  2 863,  2 936,  2 998
Seychelles,   36,   37,   37,   38,   39,   39,   39,   40,   40,   41,   42,   42
Somalia,  2 264,  2 308,  2 352,  2 397,  2 444,  2 492,  2 541,  2 592,  2 645,  2 700,  2 756,  2 814
South Sudan,  2 482,  2 502,  2 525,  2 553,  2 585,  2 620,  2 658,  2 700,  2 745,  2 792,  2 843,  2 896
Uganda,  5 158,  5 308,  5 453,  5 596,  5 741,  5 889,  6 043,  6 206,  6 379,  6 566,  6 767,  6 984
United Republic of Tanzania,  7 650,  7 845,  8 051,  8 267,  8 494,  8 730,  8 975,  9 230,  9 494,  9 768,  10 052,  10 347
Zambia,  2 310,  2 369,  2 431,  2 498,  2 570,  2 645,  2 724,  2 806,  2 892,  2 980,  3 071,  3 164
Zimbabwe,  2 747,  2 832,  2 922,  3 016,  3 113,  3 213,  3 317,  3 425,  3 537,  3 654,  3 777,  3 905