Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961
Albania,  1 263,  1 287,  1 316,  1 348,  1 383,  1 420,  1 459,  1 500,  1 543,  1 589,  1 636,  1 686
Andorra,   6,   7,   7,   8,   9,   9,   10,   11,   12,   12,   13,   14
Bosnia and Herzegovina,  2 661,  2 711,  2 765,  2 821,  2 879,  2 936,  2 993,  3 050,  3 107,  3 165,  3 226,  3 289
Croatia,  3 850,  3 886,  3 923,  3 959,  3 995,  4 030,  4 065,  4 098,  4 130,  4 162,  4 193,  4 223
Gibraltar,   22,   22,   22,   23,   23,   23,   23,   23,   23,   23,   23,   24
Greece,  7 669,  7 743,  7 814,  7 883,  7 948,  8 011,  8 071,  8 127,  8 180,  8 229,  8 274,  8 314
Holy See,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1
Italy,  46 599,  47 010,  47 391,  47 737,  48 051,  48 336,  48 599,  48 852,  49 110,  49 388,  49 700,  50 052
Malta,   312,   312,   313,   313,   314,   314,   313,   313,   312,   312,   313,   314
Montenegro,   395,   401,   411,   422,   433,   444,   453,   462,   470,   478,   487,   498
North Macedonia,  1 254,  1 290,  1 321,  1 347,  1 371,  1 392,  1 413,  1 432,  1 451,  1 470,  1 489,  1 508
Portugal,  8 417,  8 419,  8 452,  8 503,  8 564,  8 626,  8 683,  8 734,  8 778,  8 814,  8 845,  8 870
San Marino,   13,   13,   13,   13,   14,   14,   14,   14,   15,   15,   15,   16
Serbia,  6 732,  6 853,  6 963,  7 063,  7 153,  7 235,  7 309,  7 377,  7 440,  7 499,  7 557,  7 613
Slovenia,  1 473,  1 482,  1 492,  1 503,  1 515,  1 527,  1 540,  1 552,  1 564,  1 576,  1 587,  1 597
Spain,  28 070,  28 220,  28 399,  28 600,  28 818,  29 048,  29 290,  29 544,  29 811,  30 097,  30 402,  30 730