"pressure","temperature","specific_volume_liquid","specific_volume_gas","internal_energy_liquid","internal_energy_gas","enthalpy_liquid","vaporization","enthalpy_gas","entropy_liquid","entropy_gas"
0.00611,0.01,0.0010002,206.136,0.00,2375.3,0.01,2501.3,2501.4,0.0000,9.1562
0.00813,4,0.0010001,157.232,16.77,2380.9,16.78,2491.9,2508.7,0.0610,9.0514
0.00872,5,0.0010001,147.12,20.97,2382.3,20.98,2489.6,2510.6,0.0761,9.0257
0.00935,6,0.0010001,137.734,25.19,2383.6,25.20,2487.2,2512.4,0.0912,9.0003
0.01072,8,0.0010002,120.917,33.59,2386.4,33.60,2482.5,2516.1,0.1212,8.9501
0.01228,10,0.0010004,106.379,42.00,2389.2,42.01,2477.7,2519.8,0.1510,8.9008
0.01312,11,0.0010004,99.857,46.20,2390.5,46.20,2475.4,2521.6,0.1658,8.8765
0.01402,12,0.0010005,93.784,50.41,2391.9,50.41,2473.0,2523.4,0.1806,8.8524
0.01497,13,0.0010007,88.124,54.60,2393.3,54.60,2470.7,2525.3,0.1953,8.8285
0.01598,14,0.0010008,82.848,58.79,2394.7,58.80,2468.3,2527.1,0.2099,8.8048
0.01705,15,0.0010009,77.926,62.99,2396.1,62.99,2465.9,2528.9,0.2245,8.7814
0.01818,16,0.0010011,73.333,67.18,2397.4,67.19,2463.6,2530.8,0.2390,8.7582
0.01938,17,0.0010012,69.044,71.38,2398.8,71.38,2461.2,2532.6,0.2535,8.7351
0.02064,18,0.0010014,65.038,75.57,2400.2,75.58,2458.8,2534.4,0.2679,8.7123
0.02198,19,0.0010016,61.293,79.76,2401.6,79.77,2456.5,2536.2,0.2823,8.6897
0.02339,20,0.0010018,57.791,83.95,2402.9,83.96,2454.1,2538.1,0.2966,8.6672
0.02487,21,0.0010020,54.514,88.14,2404.3,88.14,2451.8,2539.9,0.3109,8.6450
0.02645,22,0.0010022,51.447,92.32,2405.7,92.33,2449.4,2541.7,0.3251,8.6229
0.0281,23,0.0010024,48.574,96.51,2407.0,96.52,2447.0,2543.5,0.3393,8.6011
0.02985,24,0.0010027,45.883,100.70,2408.4,100.70,2444.7,2545.4,0.3534,8.5794
0.03169,25,0.0010029,43.36,104.88,2409.8,104.89,2442.3,2547.2,0.3674,8.5580
0.03363,26,0.0010032,40.994,109.06,2411.1,109.07,2439.9,2549.0,0.3814,8.5367
0.03567,27,0.0010035,38.774,113.25,2412.5,113.25,2437.6,2550.8,0.3954,8.5156
0.03782,28,0.0010037,36.69,117.42,2413.9,117.43,2435.2,2552.6,0.4093,8.4946
0.04,28.96,0.0010040,34.8,121.45,2415.2,121.46,2432.9,2554.4,0.4226,8.4746
0.04008,29,0.0010040,34.733,121.60,2415.2,121.61,2432.8,2554.5,0.4231,8.4739
0.04246,30,0.0010043,32.894,125.78,2416.6,125.79,2430.5,2556.3,0.4369,8.4533
0.04496,31,0.0010046,31.165,129.96,2418.0,129.97,2428.1,2558.1,0.4507,8.4329
0.04759,32,0.0010050,29.54,134.14,2419.3,134.15,2425.7,2559.9,0.4644,8.4127
0.05034,33,0.0010053,28.011,138.32,2420.7,138.33,2423.4,2561.7,0.4781,8.3927
0.05324,34,0.0010056,26.571,142.50,2422.0,142.50,2421.0,2563.5,0.4917,8.3728
0.05628,35,0.0010060,25.216,146.67,2423.4,146.68,2418.6,2565.3,0.5053,8.3531
0.05947,36,0.0010063,23.94,150.85,2424.7,150.86,2416.2,2567.1,0.5188,8.3336
0.06,36.16,0.0010064,23.739,151.53,2425.0,151.53,2415.9,2567.4,0.5210,8.3304
0.06632,38,0.0010071,21.602,159.20,2427.4,159.21,2411.5,2570.7,0.5458,8.2950
0.07384,40,0.0010078,19.523,167.56,2430.1,167.57,2406.7,2574.3,0.5725,8.2570
0.08,41.51,0.0010084,18.103,173.87,2432.2,173.88,2403.1,2577.0,0.5926,8.2287
0.09593,45,0.0010099,15.258,188.44,2436.8,188.45,2394.8,2583.2,0.6387,8.1648
0.1,45.81,0.0010102,14.674,191.82,2437.9,191.83,2392.8,2584.7,0.6493,8.1502
0.1235,50,0.0010121,12.032,209.32,2443.5,209.33,2382.7,2592.1,0.7038,8.0763
0.1576,55,0.0010146,9.568,230.21,2450.1,230.23,2370.7,2600.9,0.7679,7.9913
0.1994,60,0.0010172,7.671,251.11,2456.6,251.13,2358.5,2609.6,0.8312,7.9096
0.2,60.06,0.0010172,7.649,251.38,2456.7,251.40,2358.3,2609.7,0.8320,7.9085
0.2503,65,0.0010199,6.197,272.02,2463.1,272.06,2346.2,2618.3,0.8935,7.8310
0.3,69.1,0.0010223,5.229,289.20,2468.4,289.23,2336.1,2625.3,0.9439,7.7686
0.3119,70,0.0010228,5.042,292.95,2469.6,292.98,2333.8,2626.8,0.9549,7.7553
0.3858,75,0.0010259,4.131,313.90,2475.9,313.93,2321.4,2635.3,1.0155,7.6824
0.4,75.87,0.0010265,3.993,317.53,2477.0,317.58,2319.2,2636.8,1.0259,7.6700
0.4739,80,0.0010291,3.407,334.86,2482.2,334.91,2308.8,2643.7,1.0753,7.6122
0.5,81.33,0.0010300,3.24,340.44,2483.9,340.49,2305.4,2645.9,1.0910,7.5939
0.5783,85,0.0010325,2.828,355.84,2488.4,355.90,2296.0,2651.9,1.1343,7.5445
0.6,85.94,0.0010331,2.732,359.79,2489.6,359.86,2293.6,2653.5,1.1453,7.5320
0.7,89.95,0.0010360,2.365,376.63,2494.5,376.70,2283.3,2660.0,1.1919,7.4797
0.7014,90,0.0010360,2.361,376.85,2494.5,376.92,2283.2,2660.1,1.1925,7.4791
0.8,93.5,0.0010380,2.087,391.58,2498.8,391.66,2274.1,2665.8,1.2329,7.4346
0.8455,95,0.0010397,1.982,397.88,2500.6,397.96,2270.2,2668.1,1.2500,7.4159
0.9,96.71,0.0010410,1.869,405.06,2502.6,405.15,2265.7,2670.9,1.2695,7.3949
1,99.63,0.0010432,1.694,417.36,2506.1,417.46,2258.0,2675.5,1.3026,7.3594
1.014,100,0.0010435,1.673,418.94,2506.5,419.04,2257.0,2676.1,1.3069,7.3549
1.433,110,0.0010516,1.21,461.14,2518.1,461.30,2230.2,2691.5,1.4185,7.2387
1.5,111.4,0.0010528,1.159,466.94,2519.7,467.11,2226.5,2693.6,1.4336,7.2233
1.985,120,0.0010603,0.8919,503.50,2529.3,503.71,2202.6,2706.3,1.5276,7.1296
2,120.2,0.0010605,0.8857,504.49,2529.5,504.70,2201.9,2706.7,1.5301,7.1271
2.5,127.4,0.0010672,0.7187,535.10,2537.2,535.37,2181.5,2716.9,1.6072,7.0527
2.701,130,0.0010697,0.6685,546.02,2539.9,546.31,2174.2,2720.5,1.6344,7.0269
3,133.6,0.0010732,0.6058,561.15,2543.6,561.47,2163.8,2725.3,1.6718,6.9919
3.5,138.9,0.0010786,0.5243,583.95,2546.9,584.33,2148.1,2732.4,1.7275,6.9405
3.613,140,0.0010797,0.5089,588.74,2550.0,589.13,2144.7,2733.9,1.7391,6.9299
4,143.6,0.0010836,0.4625,604.31,2553.6,604.74,2133.8,2738.6,1.7766,6.8959
4.5,147.9,0.0010882,0.414,622.25,2557.6,623.25,2120.7,2743.9,1.8207,6.8565
4.758,150,0.0010905,0.3928,631.68,2559.5,632.20,2114.3,2746.5,1.8418,6.8379
5,151.9,0.0010926,0.3749,639.68,2561.2,640.23,2108.5,2748.7,1.8607,6.8212
6,158.9,0.0011006,0.3157,669.90,2567.4,670.56,2086.3,2756.8,1.9312,6.7600
6.178,160,0.0011020,0.3071,674.86,2568.4,675.55,2082.6,2758.1,1.9427,6.7502
7,165,0.0011080,0.2729,696.44,2572.5,697.22,2066.3,2763.5,1.9922,6.7080
7.917,170,0.0011143,0.2428,718.33,2576.5,719.21,2049.5,2768.7,2.0419,6.6663
8,170.4,0.0011148,0.2404,720.22,2576.8,721.11,2048.0,2769.1,2.0462,6.6628
9,175.4,0.0011212,0.215,741.83,2580.5,742.83,2031.1,2773.9,2.0946,6.6226
10,179.9,0.0011273,0.1944,761.68,2583.6,762.81,2015.3,2778.1,2.1387,6.5863
10.02,180,0.0011274,0.1941,762.09,2583.7,763.22,2015.0,2778.2,2.1396,6.5857
12.54,190,0.0011414,0.1565,806.19,2590.0,807.62,1978.8,2786.4,2.2359,6.5079
15,198.3,0.0011539,0.1318,843.16,2594.5,844.84,1947.3,2792.2,2.3150,6.4448
15.54,200,0.0011565,0.1274,850.65,2595.3,852.45,1940.7,2793.2,2.3309,6.4323
19.06,210,0.0011726,0.1044,895.53,2599.5,897.76,1900.7,2798.5,2.4248,6.3585
20,212.4,0.0011767,0.09963,906.44,2600.3,908.79,1890.7,2799.5,2.4474,6.3409
23.18,220,0.0011900,0.08619,940.87,2602.4,943.62,1858.5,2802.1,2.5178,6.2861
25,224,0.0011973,0.07998,959.11,2603.1,962.11,1841.0,2803.1,2.5547,6.2575
27.95,230,0.0012088,0.07158,986.74,2603.9,990.12,1813.8,2804.0,2.6099,6.2146
30,233.9,0.0012165,0.06668,1004.80,2604.1,1008.40,1795.7,2804.2,2.6457,6.1869
33.44,240,0.0012291,0.05976,1033.20,2604.0,1037.30,1766.5,2803.8,2.7015,6.1437
35,242.6,0.0012347,0.05707,1045.40,2603.7,1049.80,1753.7,2803.4,2.7253,6.1253
39.73,250,0.0012512,0.05013,1080.40,2602.4,1085.40,1716.2,2801.5,2.7927,6.0730
40,250.4,0.0012522,0.04978,1082.30,2602.3,1087.30,1714.1,2801.4,2.7964,6.0701
45,257.5,0.0012692,0.04406,1116.20,2600.1,1121.90,1676.4,2798.3,2.8610,6.0199
46.88,260,0.0012755,0.04221,1128.40,2599.0,1134.40,1662.5,2796.6,2.8838,6.0019
50,264,0.0012859,0.03944,1147.80,2597.1,1154.20,1640.1,2794.3,2.9202,5.9734
54.99,270,0.0013023,0.03564,1177.40,2593.7,1184.50,1605.2,2789.7,2.9751,5.9301
60,275.6,0.0013187,0.03244,1205.40,2589.7,1213.40,1571.0,2784.3,3.0267,5.8892
64.12,280,0.0013321,0.03017,1227.50,2586.1,1236.00,1543.6,2779.6,3.0668,5.8571
70,285.9,0.0013513,0.02737,1257.60,2580.5,1267.00,1505.1,2772.1,3.1211,5.8133
74.36,290,0.0013656,0.02557,1278.90,2576.0,1289.10,1477.1,2766.2,3.1594,5.7821
80,295.1,0.0013842,0.02352,1305.60,2569.8,1316.60,1441.3,2758.0,3.2068,5.7432
85.81,300,0.0014036,0.02167,1332.00,2563.0,1344.00,1404.9,2749.0,3.2534,5.7045
90,303.4,0.0014178,0.02048,1350.50,2557.8,1363.30,1378.9,2742.1,3.2858,5.6772
100,311.1,0.0014524,0.01803,1393.00,2544.4,1407.60,1317.1,2724.7,3.3596,5.6141
110,318.2,0.0014886,0.01599,1433.70,2529.8,1450.10,1255.5,2705.6,3.4295,5.5527
112.7,320,0.0014988,0.01549,1444.60,2525.5,1461.50,1238.6,2700.1,3.4480,5.5362
120,324.8,0.0015267,0.01426,1473.00,2513.7,1491.30,1193.6,2684.9,3.4962,5.4924
130,330.9,0.0015671,0.01278,1511.10,2496.1,1531.50,1130.7,2662.2,3.5606,5.4323
140,336.8,0.0016107,0.01149,1548.60,2476.8,1571.10,1066.5,2637.6,3.6232,5.3717
145.9,340,0.0016379,0.0108,1570.30,2464.6,1594.20,1027.9,2622.0,3.6594,5.3357
150,342.2,0.0016581,0.01034,1585.60,2455.5,1610.50,1000.0,2610.5,3.6848,5.3098
160,347.4,0.0017107,0.009306,1622.70,2431.7,1650.10,930.6,2580.6,3.7461,5.2455
170,352.4,0.0017702,0.008364,1660.20,2405.0,1690.30,856.9,2547.2,3.8079,5.1777
180,357.1,0.0018397,0.007489,1698.90,2374.3,1732.00,777.1,2509.1,3.8715,5.1044
186.5,360,0.0018925,0.006945,1725.20,2351.5,1760.50,720.5,2481.0,3.9147,5.0526
190,361.5,0.0019243,0.006657,1739.90,2338.1,1776.50,688.0,2464.5,3.9388,5.0228
200,365.8,0.0020360,0.005834,1785.60,2293.0,1826.30,583.4,2409.7,4.0139,4.9269
220.9,374.1,0.0031550,0.003155,2029.60,2029.6,2099.30,0.0,2099.3,4.4298,4.4298
